Measurement time:; 02/09/2022 18:30:36;;;;
Radiation device:; Clinac3 Accelerator;;;;
Energy:; 6 MeV ;;;;
Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;
Measurement medium:; Water;;;;
Scan type:; Beam;;;;
Scan mode:; Continuous;;;;
Wedge:; none;;;;
;;;;;
Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;200;0,16;311,6;0,22
0;0;199,3;0,13;248,8;0,13
0;0;198;0,11;220,8;0,11
0;0;196,8;0,15;291,6;0,15
0;0;195,6;0,15;286,8;0,14
0;0;194,4;0,16;314,8;0,16
0;0;193,2;0,16;304,1;0,16
0;0;192;0,12;228,2;0,11
0;0;190,7;0,1;200,7;0,1
0;0;189,5;0,13;245,1;0,13
0;0;188,3;0,15;299,9;0,15
0;0;187,1;0,17;333,7;0,17
0;0;185,9;0,15;289,1;0,15
0;0;184,7;0,18;345,7;0,17
0;0;183,5;0,16;309;0,16
0;0;182,3;0,14;282,2;0,15
0;0;181,1;0,15;295,8;0,15
0;0;179,9;0,16;319,9;0,16
0;0;178,7;0,15;289,7;0,15
0;0;177,5;0,21;416;0,21
0;0;176,3;0,15;292,1;0,15
0;0;175,1;0,13;259,9;0,13
0;0;173,9;0,16;311,6;0,16
0;0;172,7;0,13;258,6;0,13
0;0;171,5;0,14;272;0,14
0;0;170,3;0,17;333,4;0,17
0;0;169,1;0,16;315,2;0,16
0;0;167,9;0,17;338;0,17
0;0;166,7;0,16;314,6;0,16
0;0;165,5;0,2;382,3;0,2
0;0;164,3;0,2;383,1;0,19
0;0;163,1;0,2;382,8;0,2
0;0;161,9;0,19;361,8;0,19
0;0;160,7;0,19;377,2;0,19
0;0;159,5;0,2;397,7;0,21
0;0;158,3;0,19;370,9;0,2
0;0;157,1;0,19;374,6;0,19
0;0;155,9;0,16;303,9;0,16
0;0;154,7;0,2;384,1;0,2
0;0;153,5;0,19;362;0,18
0;0;152,3;0,18;357,7;0,18
0;0;151,1;0,22;426,1;0,22
0;0;149,9;0,22;426,1;0,22
0;0;148,7;0,19;364,6;0,19
0;0;147,5;0,23;454,1;0,24
0;0;146,3;0,2;381,6;0,2
0;0;145,1;0,21;410,2;0,21
